Ssn,Bdate,Sex,Salary,Super_ssn,Dno,a,b,c,d,e,f
1,551208,1,25000,7,4,1,551208,1,25000,7,4
2,650109,1,25000,6,5,2,650109,1,25000,6,5
3,690329,0,25000,7,4,3,690329,0,25000,7,4
4,271110,0,30000,6,5,4,271110,0,30000,6,5
5,620915,0,38000,6,5,5,620915,0,38000,6,5
6,551208,0,40000,8,5,6,551208,0,40000,8,5
7,551208,1,43000,8,4,7,551208,1,43000,8,4
8,720731,0,55000,0,1,8,720731,0,55000,0,1
9,551208,1,25000,7,4,9,551208,1,25000,7,4
10,650109,1,25000,6,5,10,650109,1,25000,6,5
11,690329,0,25000,7,4,11,690329,0,25000,7,4
12,271110,0,30000,6,5,12,271110,0,30000,6,5
13,620915,0,38000,6,5,13,620915,0,38000,6,5
14,551208,0,40000,8,5,14,551208,0,40000,8,5
15,551208,1,43000,8,4,15,551208,1,43000,8,4
16,720731,0,55000,0,1,16,720731,0,55000,0,1
17,551208,1,25000,7,4,17,551208,1,25000,7,4
18,650109,1,25000,6,5,18,650109,1,25000,6,5
19,690329,0,25000,7,4,19,690329,0,25000,7,4
20,271110,0,30000,6,5,20,271110,0,30000,6,5
21,620915,0,38000,6,5,21,620915,0,38000,6,5
22,551208,0,40000,8,5,22,551208,0,40000,8,5
23,551208,1,43000,8,4,23,551208,1,43000,8,4
24,720731,0,55000,0,1,24,720731,0,55000,0,1
25,551208,1,25000,7,4,25,551208,1,25000,7,4
26,650109,1,25000,6,5,26,650109,1,25000,6,5
27,690329,0,25000,7,4,27,690329,0,25000,7,4
28,271110,0,30000,6,5,28,271110,0,30000,6,5
29,620915,0,38000,6,5,29,620915,0,38000,6,5
30,551208,0,40000,8,5,30,551208,0,40000,8,5
31,551208,1,43000,8,4,31,551208,1,43000,8,4
32,720731,0,55000,0,1,32,720731,0,55000,0,1
33,551208,1,25000,7,4,33,551208,1,25000,7,4
34,650109,1,25000,6,5,34,650109,1,25000,6,5
35,690329,0,25000,7,4,35,690329,0,25000,7,4
36,271110,0,30000,6,5,36,271110,0,30000,6,5
37,620915,0,38000,6,5,37,620915,0,38000,6,5
38,551208,0,40000,8,5,38,551208,0,40000,8,5
39,551208,1,43000,8,4,39,551208,1,43000,8,4
40,720731,0,55000,0,1,40,720731,0,55000,0,1
41,551208,1,25000,7,4,41,551208,1,25000,7,4
42,551208,0,40000,8,5,42,551208,0,40000,8,5
43,551208,1,43000,8,4,43,551208,1,43000,8,4
44,720731,0,55000,0,1,44,720731,0,55000,0,1
45,551208,1,25000,7,4,45,551208,1,25000,7,4
46,551208,1,25000,7,4,46,551208,1,25000,7,4
47,650109,1,25000,6,5,47,650109,1,25000,6,5
48,690329,0,25000,7,4,48,690329,0,25000,7,4
49,271110,0,30000,6,5,49,271110,0,30000,6,5
50,620915,0,38000,6,5,50,620915,0,38000,6,5
51,551208,0,40000,8,5,51,551208,0,40000,8,5
52,551208,1,43000,8,4,52,551208,1,43000,8,4
53,720731,0,55000,0,1,53,720731,0,55000,0,1
54,551208,1,25000,7,4,54,551208,1,25000,7,4
55,650109,1,25000,6,5,55,650109,1,25000,6,5
56,690329,0,25000,7,4,56,690329,0,25000,7,4
57,271110,0,30000,6,5,57,271110,0,30000,6,5
58,620915,0,38000,6,5,58,620915,0,38000,6,5
59,551208,0,40000,8,5,59,551208,0,40000,8,5
60,551208,1,43000,8,4,60,551208,1,43000,8,4
61,720731,0,55000,0,1,61,720731,0,55000,0,1
62,551208,1,25000,7,4,62,551208,1,25000,7,4
63,551208,0,40000,8,5,63,551208,0,40000,8,5
64,551208,1,43000,8,4,64,551208,1,43000,8,4
65,720731,0,55000,0,1,65,720731,0,55000,0,1
66,551208,1,25000,7,4,66,551208,1,25000,7,4
67,720731,0,55000,0,1,67,720731,0,55000,0,1
68,551208,1,25000,7,4,68,551208,1,25000,7,4
69,551208,1,25000,7,4,69,551208,1,25000,7,4
70,650109,1,25000,6,5,70,650109,1,25000,6,5
71,690329,0,25000,7,4,71,690329,0,25000,7,4
72,271110,0,30000,6,5,72,271110,0,30000,6,5
73,620915,0,38000,6,5,73,620915,0,38000,6,5
74,551208,0,40000,8,5,74,551208,0,40000,8,5
75,551208,1,43000,8,4,75,551208,1,43000,8,4
76,720731,0,55000,0,1,76,720731,0,55000,0,1
77,551208,1,25000,7,4,77,551208,1,25000,7,4
78,650109,1,25000,6,5,78,650109,1,25000,6,5
79,690329,0,25000,7,4,79,690329,0,25000,7,4
80,271110,0,30000,6,5,80,271110,0,30000,6,5
81,620915,0,38000,6,5,81,620915,0,38000,6,5
82,551208,0,40000,8,5,82,551208,0,40000,8,5
83,551208,1,43000,8,4,83,551208,1,43000,8,4
84,720731,0,55000,0,1,84,720731,0,55000,0,1
85,551208,1,25000,7,4,85,551208,1,25000,7,4
86,551208,0,40000,8,5,86,551208,0,40000,8,5
87,551208,1,43000,8,4,87,551208,1,43000,8,4
88,720731,0,55000,0,1,88,720731,0,55000,0,1
89,551208,1,25000,7,4,89,551208,1,25000,7,4
90,720731,0,55000,0,1,90,720731,0,55000,0,1
91,551208,1,25000,7,4,91,551208,1,25000,7,4
92,551208,1,25000,7,4,92,551208,1,25000,7,4
93,650109,1,25000,6,5,93,650109,1,25000,6,5
94,690329,0,25000,7,4,94,690329,0,25000,7,4
95,271110,0,30000,6,5,95,271110,0,30000,6,5
96,620915,0,38000,6,5,96,620915,0,38000,6,5
97,551208,0,40000,8,5,97,551208,0,40000,8,5
98,551208,1,43000,8,4,98,551208,1,43000,8,4
99,720731,0,55000,0,1,99,720731,0,55000,0,1
100,551208,1,25000,7,4,100,551208,1,25000,7,4
101,650109,1,25000,6,5,101,650109,1,25000,6,5
102,690329,0,25000,7,4,102,690329,0,25000,7,4
103,271110,0,30000,6,5,103,271110,0,30000,6,5
104,620915,0,38000,6,5,104,620915,0,38000,6,5
105,551208,0,40000,8,5,105,551208,0,40000,8,5
106,551208,1,43000,8,4,106,551208,1,43000,8,4
107,720731,0,55000,0,1,107,720731,0,55000,0,1
108,551208,1,25000,7,4,108,551208,1,25000,7,4
109,551208,0,40000,8,5,109,551208,0,40000,8,5
110,551208,1,43000,8,4,110,551208,1,43000,8,4
